Sex,Age,Height,Weight,NOC,Category
1,24.0,195.0,95.0,194,watercraft_racing - rowing
1,23.0,190.0,84.0,35,sprint_classes - swimming
1,20.0,191.0,86.0,107,team_sports - handball
1,21.0,172.0,66.0,212,team_sports - football
1,20.0,180.0,82.0,35,wrestling - middle_classes_mixed
1,23.0,177.0,72.0,128,team_sports - football
1,23.0,182.0,72.0,61,team_sports - football
1,17.0,182.0,81.0,72,Uncategorized
1,36.0,175.0,62.0,187,endurance_stamina - road_cycling
1,20.0,197.0,80.0,128,athletics_technical - jumps_and_vault
1,27.0,167.0,67.0,57,endurance_stamina - road_cycling
1,20.0,197.0,129.0,72,strength_power_throws
0,40.0,168.0,60.0,72,precision_marksmanship - shooting
1,25.0,203.0,103.0,77,team_sports - handball
0,18.0,166.0,54.0,52,precision_marksmanship - shooting
1,26.0,185.0,78.0,12,athletics_technical - jumps_and_vault
1,25.0,179.0,62.0,40,endurance_stamina - running
1,27.0,187.0,123.0,112,strength_power_throws
0,17.0,168.0,66.0,40,sprint_classes - swimming
0,26.0,159.0,48.0,140,endurance_stamina - running
1,21.0,186.0,86.0,28,watercraft_racing - rowing
0,18.0,183.0,79.0,212,precision_marksmanship - shooting
1,22.0,166.0,68.0,81,weightlifting - light_classes
1,30.0,179.0,77.0,210,watercraft_racing - canoeing_kayaking
1,33.0,162.0,50.0,102,precision_marksmanship - shooting
1,30.0,190.0,76.0,72,fencing
0,26.0,172.0,58.0,64,endurance_stamina - biathlon
1,23.0,204.0,95.0,50,boxing - heavy_classes_power
1,25.0,188.0,100.0,3,judo - heavy_classes_power
1,31.0,178.0,70.0,212,watercraft_racing - sailing
1,18.0,183.0,82.0,8,team_sports - hockey
0,24.0,160.0,71.0,225,team_sports - hockey
1,25.0,182.0,90.0,28,judo - middle_classes_mixed
0,32.0,177.0,63.0,149,endurance_stamina - road_cycling
1,20.0,189.0,83.0,212,Uncategorized
1,22.0,160.0,66.0,45,team_sports - football
1,18.0,201.0,94.0,72,watercraft_racing - rowing
0,23.0,173.0,65.0,142,team_sports - handball
1,33.0,183.0,74.0,142,watercraft_racing - sailing
1,20.0,169.0,63.0,154,team_sports - football
1,22.0,172.0,85.0,25,weightlifting - middle_classes
1,30.0,175.0,74.0,74,watercraft_racing - sailing
0,23.0,161.0,58.0,210,fencing
0,18.0,196.0,72.0,168,team_sports - volleyball
1,19.0,167.0,60.0,102,endurance_stamina - speed_skating
0,16.0,155.0,43.0,72,artistic_aesthetic_judged - gymnastics
1,21.0,190.0,83.0,212,watercraft_racing - rowing
0,21.0,155.0,52.0,102,artistic_aesthetic_judged - diving
0,27.0,175.0,65.0,107,fencing
1,24.0,189.0,82.0,50,team_sports - handball
0,20.0,165.0,55.0,102,precision_marksmanship - archery
1,21.0,181.0,70.0,98,racket_net_sports - table_tennis
1,25.0,208.0,86.0,102,team_sports - volleyball
1,22.0,196.0,96.0,12,team_sports - football
1,40.0,183.0,64.0,39,equestrian
1,23.0,193.0,93.0,31,watercraft_racing - rowing
1,21.0,188.0,78.0,209,Uncategorized
1,38.0,175.0,68.0,190,equestrian
0,21.0,167.0,53.0,142,endurance_stamina - triathlon
0,22.0,155.0,44.0,159,artistic_aesthetic_judged - figure_skating
1,15.0,175.0,60.0,88,Uncategorized
1,19.0,186.0,85.0,212,sprint_classes - swimming
1,18.0,181.0,75.0,211,Uncategorized
1,22.0,167.0,70.0,154,wrestling - lighter_classes_speed
1,24.0,191.0,80.0,159,team_sports - volleyball
1,21.0,160.0,45.0,40,artistic_aesthetic_judged - diving
1,25.0,190.0,135.0,12,strength_power_throws
0,23.0,167.0,60.0,72,endurance_stamina - running
0,27.0,174.0,59.0,100,sprint_classes - athletics
1,24.0,186.0,77.0,212,athletics_technical - jumps_and_vault
0,25.0,165.0,58.0,12,team_sports - football
1,20.0,194.0,96.0,25,boxing - heavy_classes_power
1,32.0,172.0,63.0,66,endurance_stamina - running
0,17.0,160.0,44.0,77,artistic_aesthetic_judged - rhythmic_gymnastics
1,24.0,165.0,56.0,216,endurance_stamina - running
1,27.0,176.0,75.0,53,Uncategorized
1,23.0,178.0,73.0,102,team_sports - football
0,23.0,175.0,61.0,77,Uncategorized
1,23.0,190.0,102.0,212,strength_power_throws
1,21.0,172.0,65.0,212,sprint_classes - athletics
1,22.0,187.0,86.0,66,multi_discipline_combined
1,25.0,189.0,100.0,2,wrestling - heavy_classes_power
1,25.0,170.0,62.0,104,endurance_stamina - running
1,26.0,168.0,68.0,223,wrestling - middle_classes_mixed
1,32.0,180.0,79.0,45,Uncategorized
1,26.0,165.0,57.0,103,boxing - lighter_classes_speed
1,25.0,186.0,72.0,95,endurance_stamina - running
1,26.0,174.0,65.0,61,fencing
0,17.0,154.0,43.0,12,artistic_aesthetic_judged - gymnastics
1,20.0,183.0,74.0,12,sprint_classes - athletics
1,21.0,180.0,70.0,72,fencing
1,20.0,190.0,83.0,88,watercraft_racing - rowing
1,26.0,190.0,92.0,210,watercraft_racing - rowing
1,22.0,187.0,83.0,187,watercraft_racing - sailing
0,26.0,160.0,55.0,98,equestrian
1,24.0,184.0,80.0,72,multi_discipline_combined
1,31.0,188.0,86.0,72,watercraft_racing - rowing
1,22.0,175.0,73.0,96,team_sports - football
1,16.0,177.0,80.0,8,team_sports - hockey
1,24.0,168.0,51.0,123,boxing - lighter_classes_speed
1,19.0,172.0,71.0,16,sprint_classes - swimming
1,31.0,190.0,95.0,50,watercraft_racing - rowing
0,20.0,176.0,63.0,212,racket_net_sports - tennis
1,25.0,179.0,74.0,13,team_sports - ice_hockey
1,29.0,175.0,74.0,8,endurance_stamina - triathlon
1,30.0,171.0,74.0,88,wrestling - middle_classes_mixed
0,22.0,174.0,67.0,50,athletics_technical - hurdles_steeplechase
0,23.0,169.0,67.0,102,racket_net_sports - badminton
1,19.0,178.0,76.0,68,wrestling - middle_classes_mixed
1,29.0,186.0,120.0,40,strength_power_throws
0,24.0,170.0,64.0,35,team_sports - ice_hockey
0,13.0,155.0,47.0,128,artistic_aesthetic_judged - gymnastics
1,20.0,175.0,62.0,88,team_sports - football
1,22.0,178.0,78.0,223,winter_sliding_alpine - alpine_skiing
1,22.0,175.0,73.0,212,artistic_aesthetic_judged - figure_skating
1,18.0,176.0,70.0,187,Uncategorized
0,30.0,177.0,79.0,42,team_sports - volleyball
0,24.0,176.0,75.0,210,team_sports - handball
1,22.0,180.0,75.0,68,endurance_stamina - biathlon
1,23.0,188.0,89.0,172,team_sports - water_polo
1,23.0,180.0,77.0,210,fencing
1,27.0,185.0,78.0,85,sprint_classes - athletics
